iter	Passed	Remaining
0	1	1748
1	3	1630
2	4	1580
3	6	1513
4	7	1481
5	8	1489
6	10	1497
7	12	1517
8	13	1519
9	15	1502
10	16	1489
11	18	1493
12	19	1474
13	20	1455
14	21	1442
15	23	1429
16	24	1418
17	25	1411
18	27	1403
19	28	1412
20	30	1409
21	31	1415
22	33	1414
23	34	1415
24	36	1412
25	37	1403
26	38	1393
27	39	1388
28	41	1382
29	42	1379
30	44	1385
31	46	1391
32	47	1390
33	48	1387
34	50	1383
35	51	1382
36	53	1379
37	54	1376
38	55	1373
39	57	1370
40	58	1370
41	60	1382
42	62	1395
43	64	1400
44	66	1403
45	68	1414
46	70	1424
47	71	1423
48	73	1423
49	75	1442
50	77	1447
51	79	1453
52	81	1456
53	83	1458
54	84	1458
55	86	1459
56	88	1463
57	90	1462
58	92	1472
59	93	1471
60	95	1476
61	97	1476
62	99	1474
63	100	1471
64	102	1469
65	104	1474
66	105	1472
67	107	1475
68	109	1473
69	110	1471
70	112	1469
71	113	1466
72	115	1463
73	116	1461
74	118	1459
75	119	1457
76	121	1455
77	123	1464
78	125	1463
79	127	1460
80	128	1455
81	129	1454
82	131	1454
83	133	1453
84	134	1451
85	136	1450
86	138	1457
87	140	1456
88	142	1455
89	143	1454
90	146	1458
91	147	1459
92	150	1463
93	152	1468
94	154	1469
95	156	1473
96	158	1473
97	160	1472
98	161	1471
99	163	1470
100	164	1468
101	166	1467
102	168	1465
103	170	1466
104	172	1467
105	174	1472
106	176	1474
107	178	1473
108	180	1473
109	182	1473
110	183	1472
111	185	1474
112	187	1474
113	189	1474
114	191	1474
115	193	1472
116	194	1471
117	196	1470
118	198	1470
119	200	1469
120	202	1473
121	204	1475
122	207	1477
123	209	1478
124	211	1477
125	212	1476
126	214	1476
127	216	1478
128	219	1480
129	221	1480
130	222	1478
131	224	1477
132	226	1475
133	228	1473
134	229	1471
135	231	1470
136	233	1473
137	235	1471
138	237	1468
139	238	1467
140	240	1465
141	242	1463
142	243	1461
143	245	1459
144	247	1458
145	249	1460
146	251	1459
147	253	1457
148	254	1454
149	256	1452
150	257	1450
151	259	1448
152	261	1448
153	263	1448
154	265	1449
155	267	1448
156	269	1446
157	271	1445
158	273	1444
159	274	1443
160	277	1444
161	279	1446
162	282	1449
163	284	1448
164	285	1446
165	287	1444
166	289	1444
167	291	1442
168	293	1441
169	295	1441
170	297	1442
171	299	1441
172	301	1440
173	303	1438
174	305	1439
175	307	1437
176	308	1435
177	310	1434
178	312	1434
179	314	1433
180	316	1431
181	318	1430
182	319	1428
183	321	1427
184	323	1426
185	325	1425
186	328	1427
187	330	1427
188	332	1426
